Treatment,Country,Sample_ID,Richness,Chao1,ACE,Shannon,InvSimpson,pielou,CropRichness,tillage_no_times,tillage_depth_max_cm,fertilizer_min_app_no,fertilizer_min_N_amount,fertilizer_org_app_no,fertilizer_organic_N_tot_amount,fertilizer_organic_N_min_amount,herb_no_app,fung_no_app,insect_no_app,Sample_No,MI,Axis.1,Axis.2,Lat,Long,Aboveground_biomass,Grain_biomass,Phytometer.shoots,Phytometer.roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_.,C_tot_mg,N_tot_.,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_.,Organic_C_.,CaCO3_.,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean.BD..g.cm3.,mean.ad..g.cm3.,moisture
Arable,Spain,SP2,4,7,12.57142857,1.073542846,2.285714286,0.77439747,5,2,20,2,124,0,0,0,2,1,0,2,0.493833353,0.00763424,-0.018459859,37.64241,-5.28839,NA,NA,3.24,1.46,4.7,67.46366841,20.01360976,11.85272183,8.45,NA,1.98,19800,0.054,540,157.58,5.9,5.58,0.67,0.39,0.2,163.097,17.046,4.240014925,1.975697879,0.183125,3900,1.586393319,1.505598971,0.089805825
Arable,Spain,SP3,19,19,19.26229508,2.609549583,9.908689249,0.886263767,3,2,20,2,124,0,0,0,2,1,0,3,0.493833353,0.012700588,-0.01985537,37.65983,-5.282124,NA,NA,1.93,0.93,2.86,41.04029829,27.38132917,30.48837254,26.6,NA,0.98,9800,0.095,950,101.41,1,8.2,1.09,0.63,1.5,247.447,28.05,1.390634807,0.984251869,0.7028125,6300,1.436150544,1.436150544,0.078891471
Arable,Spain,SP5,10,10.6,12.0415879,2.108554182,7.041666667,0.915733446,3,1,15,2,117.4,0,0,0,2,0,0,5,0.255943987,-0.009172956,0.018895497,37.4133,-5.584381,NA,NA,1.89,1.11,3,11.12243557,61.8576771,25.54988733,10,NA,5.2,52000,0.101,1010,465.18,4.9,8.27,1.47,0.85,29.5,540.301,72.675,2.849030621,5.195968973,0.5490625,8500,0.969984443,0.969984443,0.192267528
Arable,Spain,SP6,11,11,11.398272,0.135533537,1.040053981,0.056521875,3,1,15,2,117.4,0,0,0,3,0,0,6,0.316562082,-0.01450577,0.011948701,37.40317,-5.588811,NA,NA,1.93,1.6,3.53,11.95201488,54.28212754,32.41585759,NA,NA,4.05,40500,0.108,1080,470.78,5,8.21,1.35,0.78,28.8,502.06,64.237,2.770196688,4.049323927,0.493229167,7800,0.918647424,0.918647424,0.175333428
Arable,Spain,SP8,5,5.5,6.786666667,1.128596294,2.270440252,0.701236304,3,2,17,1,12.5,0,0,0,0,0,0,8,0.19659778,-0.016700378,-0.007582637,40.05874,-4.416166,NA,NA,1.88,0.89,2.77,74.85334517,14.50397363,9.862681203,8.06,NA,3.33,33300,0.066,660,941.29,53.51,6.45,0.78,0.45,0.6,168.661,22.704,62.28632286,3.325355435,0.1915625,4500,1.616831982,1.592055331,0.071851988
Arable,Spain,SP9,24,24.25,24.62068966,2.711420043,10.63221477,0.853169955,1,2,22,2,51.5,0,0,0,1,0,0,9,0.327360651,-0.002003415,-0.008161586,40.05793,-4.416149,NA,NA,1.75,0.89,2.64,76.27622632,12.35399882,10.80977486,11.15,NA,3.02,30200,0.064,640,900.9,70.76,6.52,0.56,0.32,0.6,187.488,24.51,61.10968581,3.018146182,0.237475,3200,1.646390405,1.646390405,0.053503856
Arable,Spain,SP11,5,5,5.461805556,1.479132807,3.930232558,0.919036886,2,2,28,2,51.5,0,0,0,1,0,0,11,0.386349545,-0.028251279,0.002178325,40.06371,-4.420127,NA,NA,1.78,1.24,3.02,31.06288632,26.70119512,41.64591856,43.05,NA,NA,NA,0.08,800,380.82,16.58,8.12,0.59,0.34,0.7,389.336,50.031,19.76116775,0,0.490416667,3400,1.544233303,1.544233303,0.091294883
Arable,Spain,SP12,9,9,9.473946672,1.239752547,2.104655359,0.5642357,1,2,28,2,51.5,0,0,0,1,0,0,12,0.386349545,-0.016745383,0.005579001,40.0639,-4.420142,NA,NA,2.33,1.24,3.57,29.80583425,25.54638087,43.90778487,43.89,NA,1.89,18900,0.08,800,278.9,23.19,7.45,0.74,0.43,0.3,424.468,48.094,26.79738488,1.894670342,0.4878125,4300,1.28553055,1.28553055,0.076988707
Arable,Spain,SP14,12,12,12.33243436,2.081945657,5.388316151,0.837836567,4,2,25,2,73.5,0,0,0,1,1,0,14,0.455196723,-0.030417861,0.013906771,41.54509,-4.464584,NA,NA,2.72,2.31,5.03,62.37025511,16.66175015,18.81799474,18.03,NA,2.84,28400,0.142,1420,336.99,27.79,8.05,2.15,1.24,5.4,643.272,94.158,20.21501207,2.842111774,0.757916667,12400,1.294442789,1.227615128,0.059870849
Arable,Spain,SP15,6,7,8.571428571,1.695742534,5,0.946411928,1,2,25,2,46.5,0,0,0,1,1,0,15,0.44066701,-0.037888219,0.01866404,41.51923,-4.463892,NA,NA,3.69,2.54,6.23,65.46841995,20.6509791,12.39060094,10.99,NA,7.86,78600,0.126,1260,506.91,11.55,8.15,1.49,0.86,26.6,582.957,91.201,5.484605326,7.862917134,0.64125,8600,1.416599007,1.379648418,0.056875533
Arable,Spain,SP17,10,10.33333333,10.86537396,1.790115512,4.235984355,0.777437289,2,2,35,2,51,0,0,0,1,0,0,17,0.454900853,-0.01134447,-0.010481656,40.52452,-3.300993,NA,NA,3.97,1.51,5.48,32.6546328,42.67641777,23.55894942,18.29,NA,3.72,37200,0.115,1150,282.79,13.06,7.21,1.11,0.65,0.3,350.791,50.675,15.43484574,3.718866215,0.336666667,6500,1.343731179,1.343731179,0.062533204
Arable,Spain,SP18,7,7.333333333,8.396825397,1.714203171,4.765765766,0.880926168,1,2,35,2,51,0,0,0,1,0,0,18,0.454900853,-0.021299855,0.003769043,40.52339,-3.30303,NA,NA,3.34,1.56,4.9,54.27900872,31.30468781,13.41630347,12.42,NA,4.03,40300,0.1,1000,360.63,9.2,8.06,1,0.58,0.4,307.556,44.877,7.907924741,4.028735188,0.441666667,5800,1.518601293,1.518601293,0.042318115
Arable,Spain,SP20,2,3,NA,0.693147181,2,1,3,2,25,2,47.8,0,0,0,1,0,0,20,0.354863989,-0.020676099,0.006903813,40.51571,-3.309145,NA,NA,1.25,0.78,2.03,42.927469,42.42305449,14.0094765,13.23,NA,1.16,11600,0.071,710,354.97,1,8.27,0.64,0.37,3.8,253.846,33.034,1.56520147,1.160163247,0.3603125,3700,1.485048398,1.481558511,0.043031381
Arable,Spain,SP21,15,16,16.58662281,2.003447128,4.617106315,0.739811665,1,2,25,2,53,0,0,0,1,0,0,21,0.357662305,-0.01564145,0.0063238,40.51566,-3.309169,NA,NA,1.85,2.43,4.28,43.29273996,40.75665357,15.21060648,13.35,NA,4.07,40700,0.083,830,372.82,1.5,8.19,0.74,0.43,3.5,304.057,41.405,2.531418706,4.0748001,0.436875,4300,1.412394441,1.412394441,0.039812979
Arable,Spain,SP23,10,13,12.59173554,2.12867911,7.511111111,0.924473591,3,2,20,0,0,1,49,18.5,0,0,0,23,0.229321052,-0.020355567,0.008592483,40.06727,-3.547293,NA,NA,2.47,1.07,3.54,32.08340078,46.40502649,20.05157273,16.54,NA,2.83,28300,0.134,1340,572.93,11.49,8.13,1.46,0.85,23.1,555.517,75.274,5.577978421,2.834214293,0.603020833,8500,1.361291699,1.361291699,0.052012748
Arable,Spain,SP24,2,2,3,0.636514168,1.8,0.918295834,2,2,25,2,150,0,0,0,1,0,0,24,0.409861647,-0.027763706,0.012881424,40.06759,-3.542605,NA,NA,3.59,1.71,5.3,45.17123673,35.24315526,18.295608,13.33,NA,NA,NA,0.111,1110,536.22,33.68,8.09,1.29,0.75,23,306.311,70.181,11.16208794,0,0.474166667,7500,1.493590607,1.430420967,0.043733466
Arable,Spain,SP26,4,4,4.6,0.837809082,1.745874587,0.604351504,4,2,35,2,71.6,0,0,0,1,0,0,26,0.465986487,-0.008907039,-9.88E-04,40.99853,-5.121391,NA,NA,2.81,1.41,4.22,46.14203612,36.57012049,16.16784339,11.39,NA,0.9,9000,0.1,1000,473.28,29.26,7.05,1.12,0.65,4.6,253.898,27.459,30.4241354,0.904431666,0.311666667,6500,1.523959934,1.523959934,0.026182083
Arable,Spain,SP27,2,3,NA,0.693147181,2,1,2,2,35,2,71.6,0,0,0,1,0,0,27,0.465986487,-0.030519154,0.010976159,40.98531,-5.125259,NA,NA,2.03,1.24,3.27,61.39929456,15.35547308,22.33523236,14.52,NA,1.91,19100,0.075,750,605.4,6.6,8.08,0.91,0.53,5,274.65,34.924,4.882449108,1.911807052,0.368854167,5300,1.46904681,1.46904681,0.037436474
Arable,Spain,SP29,12,13,12.88484745,1.258997465,2.312911527,0.506657852,4,0,0,1,64,1,70.4,35.2,2,0,0,29,0,-0.054367333,0.013723492,41.74506,1.511950509,NA,NA,3.09,1.22,4.31,25.00500792,50.0098935,22.42509858,17.52,NA,13.79,137900,0.191,1910,1077.94,11.21,7.87,2.56,1.48,29.3,589.422,56.814,7.32471359,13.79378191,0.883229167,14800,1.30771637,1.215447202,0.072072072
Arable,Spain,SP30,14,19,18.89143254,2.42162828,9.709219858,0.917611093,2,0,0,1,64,1,70.4,35.2,2,0,0,30,0,-0.026302501,0.017827974,41.74491,1.511196403,NA,NA,4.11,1.85,5.96,23.4870264,51.67708973,22.42588386,18.45,NA,8.16,81600,0.183,1830,816.61,11.42,7.86,2.41,1.4,34.2,492.25,47,7.251249364,8.155403557,0.880104167,14000,1.303990976,1.273952559,0.058823529
Arable,Spain,SP32,14,14.6,15.45383343,1.958972812,3.975460123,0.742300211,2,1,25,0,0,0,0,0,2,1,0,32,0.377584061,-0.017944004,0.012850692,41.65816571,2.329518782,NA,NA,1.84,1.17,3.01,56.59338776,25.46409711,16.52251512,14.26,NA,4.64,46400,0.117,1170,471,10.4,8.04,1.42,0.82,6.7,299.403,41.728,3.201619178,4.64059446,0.44875,8200,1.568898098,1.503666193,0.045112782
Arable,Spain,SP33,1,1,1,0,1,NA,2,1,27,0,0,2,234.5,131.25,1,0,0,33,0.320756885,-0.051575586,0.028430864,41.65832,2.319836689,NA,NA,4.7,2.72,7.42,53.49846917,24.02921888,19.99231195,16.41,NA,16.27,162700,0.187,1870,1206.21,115.58,7.98,2.48,1.44,8.9,376.329,35.415,74.47605922,16.26955307,0.82125,14400,1.533773035,1.501147726,0.03125
Arable,France,FR1,3,4,6.666666667,0.950270539,2.272727273,0.864973521,3,3,10,3,128,0,0,0,1,1,0,34,0.435730632,-0.038252406,0.003699382,43.529,1.5015,NA,NA,2.43,1.33,3.76,44.2,29.5,24.9,18.14,NA,4.83,48300,0.108,1080,430.22,31.13,7.34,1.44,0.83,0.1,248.408,38.556,10.56508957,4.826839602,0.4096625,8300,1.26537009,1.212657331,0.115555556
Arable,France,FR2,4,4,4,0.260989866,1.131932323,0.188264393,4,4,10,2,120,0,0,0,0,1,0,35,0.469485084,-0.016292536,-0.013229798,43.5346,1.4987,NA,NA,2.32,1.02,3.34,30.9,32.1,35.9,18.29,NA,5.46,54600,0.107,1070,291.96,6.04,6.68,1.13,0.66,0,223.125,35.271,0.854987411,5.458843749,0.185808333,6600,1.320157878,1.292496405,0.143820225
Arable,France,FR4,1,1,NA,0,1,NA,9,1,NA,4,253,0,0,0,2,1,0,37,NA,-0.055520381,0.022431202,43.647444,3.884251,NA,NA,2.24,0.75,2.99,34.3,43,21,16.26,NA,5.64,56400,0.125,1250,143.97,24.37,7.98,1.7,0.99,57.6,255.162,36.723,4.618812636,5.643697479,0.5052875,9900,1.212333892,1.192795321,0.095238095
