,OTU,Sample,Abundance,Sample_ID,Country,Country_2,Kingdom,Phylum,Class,Order,Family,Genus,Species,Trophic.Mode,Guild,taxa_OTU,OTU10
2,OTU1,Arable,8.108108108,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU1,Mortierellomycetes
11,OTU24,Grassland,7.638398435,NA,France,France,Fungi,Ascomycota,c__,Unidentified,f__,g__,s__,-,-,OTU24,Unidentified
7,OTU1891,Grassland,6.016732765,NA,France,France,Fungi,Ascomycota,c__Dothideomycetes,Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph,OTU1891,Dothideomycetes
16,OTU4,Arable,4.954184427,NA,France,France,Fungi,Basidiomycota,c__Tremellomycetes,Tremellales,f__Tremellaceae,g__Cryptococcus,s__Cryptococcus_aerius_SH190019.07FU,Pathotroph-Saprotroph-Symbiotroph,Fungal Parasite-Undefined Saprotroph,OTU4,Tremellomycetes
3,OTU16,Arable,4.728573938,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU16,Mortierellomycetes
15,OTU4,Grassland,4.362470799,NA,France,France,Fungi,Basidiomycota,c__Tremellomycetes,Tremellales,f__Tremellaceae,g__Cryptococcus,s__Cryptococcus_aerius_SH190019.07FU,Pathotroph-Saprotroph-Symbiotroph,Fungal Parasite-Undefined Saprotroph,OTU4,Tremellomycetes
18,OTU7,Grassland,4.354321725,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU7,Sordariomycetes
17,OTU7,Arable,3.333302512,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU7,Sordariomycetes
4,OTU16,Grassland,3.313956647,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU16,Mortierellomycetes
10,OTU2,Grassland,3.194436899,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU2,Sordariomycetes
9,OTU2,Arable,3.086425461,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU2,Sordariomycetes
5,OTU18,Arable,2.718421466,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Hypocreales,f__Stachybotryaceae,g__Stachybotrys,s__,Saprotroph,Undefined Saprotroph,OTU18,Sordariomycetes
19,OTU72,Arable,2.694381004,NA,France,France,Fungi,Basidiomycota,c__Agaricomycetes,Cantharellales,f__Ceratobasidiaceae,g__,s__,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,OTU72,Agaricomycetes
1,OTU1,Grassland,2.667463465,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU1,Mortierellomycetes
13,OTU38,Arable,2.49650951,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU38,Mortierellomycetes
12,OTU24,Arable,1.447050883,NA,France,France,Fungi,Ascomycota,c__,Unidentified,f__,g__,s__,-,-,OTU24,Unidentified
14,OTU38,Grassland,0.833921878,NA,France,France,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU38,Mortierellomycetes
8,OTU1891,Arable,0.769294782,NA,France,France,Fungi,Ascomycota,c__Dothideomycetes,Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph,OTU1891,Dothideomycetes
6,OTU18,Grassland,0.603031455,NA,France,France,Fungi,Ascomycota,c__Sordariomycetes,Hypocreales,f__Stachybotryaceae,g__Stachybotrys,s__,Saprotroph,Undefined Saprotroph,OTU18,Sordariomycetes
20,OTU72,Grassland,0,NA,France,France,Fungi,Basidiomycota,c__Agaricomycetes,Cantharellales,f__Ceratobasidiaceae,g__,s__,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,OTU72,Agaricomycetes
2,OTU1,Arable,14.8039402,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU1,Mortierellomycetes
9,OTU2,Arable,12.11159974,NA,Germany,Germany,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU2,Sordariomycetes
10,OTU2,Grassland,7.741230249,NA,Germany,Germany,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU2,Sordariomycetes
1,OTU1,Grassland,7.598380205,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU1,Mortierellomycetes
8,OTU16,Grassland,6.268011527,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU16,Mortierellomycetes
19,OTU8,Arable,4.547093019,NA,Germany,Germany,Fungi,Ascomycota,c__Saccharomycetes,Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_sake_SH175136.07FU,Saprotroph,Undefined Saprotroph,OTU8,Saccharomycetes
7,OTU16,Arable,3.516165184,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU16,Mortierellomycetes
16,OTU4,Arable,2.797858187,NA,Germany,Germany,Fungi,Basidiomycota,c__Tremellomycetes,Tremellales,f__Tremellaceae,g__Cryptococcus,s__Cryptococcus_aerius_SH190019.07FU,Pathotroph-Saprotroph-Symbiotroph,Fungal Parasite-Undefined Saprotroph,OTU4,Tremellomycetes
3,OTU12,Arable,2.7277315,NA,Germany,Germany,Fungi,Ascomycota,c__Pezizomycetes,Pezizales,f__Pyronemataceae,g__Pseudaleuria,s__,Saprotroph,Undefined Saprotroph,OTU12,Pezizomycetes
13,OTU38,Arable,2.378408845,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU38,Mortierellomycetes
18,OTU5,Arable,2.294518977,NA,Germany,Germany,Fungi,,c__,Unidentified,f__,g__,s__,-,-,OTU5,Unidentified
5,OTU14,Arable,2.232912355,NA,Germany,Germany,Fungi,Ascomycota,c__Leotiomycetes,Unidentified,f__,g__,s__,-,-,OTU14,Leotiomycetes
11,OTU20,Grassland,1.886862765,NA,Germany,Germany,Fungi,Ascomycota,c__Eurotiomycetes,Chaetothyriales,f__,g__,s__,-,-,OTU20,Eurotiomycetes
14,OTU38,Grassland,1.662029216,NA,Germany,Germany,Fungi,Mortierellomycota,c__Mortierellomycetes,Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_elongata_SH180118.07FU,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,OTU38,Mortierellomycetes
12,OTU20,Arable,1.658135679,NA,Germany,Germany,Fungi,Ascomycota,c__Eurotiomycetes,Chaetothyriales,f__,g__,s__,-,-,OTU20,Eurotiomycetes
15,OTU4,Grassland,1.2906191,NA,Germany,Germany,Fungi,Basidiomycota,c__Tremellomycetes,Tremellales,f__Tremellaceae,g__Cryptococcus,s__Cryptococcus_aerius_SH190019.07FU,Pathotroph-Saprotroph-Symbiotroph,Fungal Parasite-Undefined Saprotroph,OTU4,Tremellomycetes
4,OTU12,Grassland,1.05957468,NA,Germany,Germany,Fungi,Ascomycota,c__Pezizomycetes,Pezizales,f__Pyronemataceae,g__Pseudaleuria,s__,Saprotroph,Undefined Saprotroph,OTU12,Pezizomycetes
17,OTU5,Grassland,0.831014608,NA,Germany,Germany,Fungi,,c__,Unidentified,f__,g__,s__,-,-,OTU5,Unidentified
6,OTU14,Grassland,0.503080592,NA,Germany,Germany,Fungi,Ascomycota,c__Leotiomycetes,Unidentified,f__,g__,s__,-,-,OTU14,Leotiomycetes
20,OTU8,Grassland,0.103100467,NA,Germany,Germany,Fungi,Ascomycota,c__Saccharomycetes,Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_sake_SH175136.07FU,Saprotroph,Undefined Saprotroph,OTU8,Saccharomycetes
20,OTU9,Arable,16.42915625,NA,Spain,Spain,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU9,Sordariomycetes
19,OTU9,Grassland,8.003365267,NA,Spain,Spain,Fungi,Ascomycota,c__Sordariomycetes,Unidentified,f__,g__,s__,-,-,OTU9,Sordariomycetes
