Sample_No,Sample_ID,Country,Region,Treatment,Plot_ID,Lat,Long,Year,Month,Day,Crop in 2017,Aboveground_biomass,Grain_biomass,Phytometer shoots,Phytometer roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean BD (g/cm3),mean ad (g/cm3),moisture
1,SP1,Spain,Andaluc¨ªa,Grassland,Guzman,37.64356,-5.282249,,,,,,,1.77,1.17,2.94,70.16335082,16.88428047,12.17236872,7.63,,4.63,46300,0.041,410,100.53,6.9,7.23,0.78,0.45,0.3,149.213,24.672,6.429702466,4.631995237,0.122,4500,1.798017955,1.798017955,0.09300908
2,SP2,Spain,Andaluc¨ªa,High ,Guzman,37.64241,-5.28839,,,,,,,3.24,1.46,4.7,67.46366841,20.01360976,11.85272183,8.45,,1.98,19800,0.054,540,157.58,5.9,5.58,0.67,0.39,0.2,163.097,17.046,4.240014925,1.975697879,0.183125,3900,1.586393319,1.505598971,0.089805825
3,SP3,Spain,Andaluc¨ªa,Low,Guzman,37.65983,-5.282124,,,,,,,1.93,0.93,2.86,41.04029829,27.38132917,30.48837254,26.6,,0.98,9800,0.095,950,101.41,1,8.2,1.09,0.63,1.5,247.447,28.05,1.390634807,0.984251869,0.7028125,6300,1.436150544,1.436150544,0.078891471
4,SP4,Spain,Andaluc¨ªa,Grassland,IFAPA - El Tomejil,37.41256,-5.582707,,,,,,,1.46,0.76,2.22,16.5403468,52.05344351,29.88620968,29.76,,5.71,57100,0.104,1040,581.86,12.36,8.3,1.52,0.88,31.2,584.133,76.853,4.438470762,5.714866041,0.704166667,8800,0.889138825,0.889138825,0.175134792
5,SP5,Spain,Andaluc¨ªa,High,IFAPA - El Tomejil,37.4133,-5.584381,,,,,,,1.89,1.11,3,11.12243557,61.8576771,25.54988733,10,,5.2,52000,0.101,1010,465.18,4.9,8.27,1.47,0.85,29.5,540.301,72.675,2.849030621,5.195968973,0.5490625,8500,0.969984443,0.969984443,0.192267528
6,SP6,Spain,Andaluc¨ªa,Low,IFAPA - El Tomejil,37.40317,-5.588811,,,,,,,1.93,1.6,3.53,11.95201488,54.28212754,32.41585759,,,4.05,40500,0.108,1080,470.78,5,8.21,1.35,0.78,28.8,502.06,64.237,2.770196688,4.049323927,0.493229167,7800,0.918647424,0.918647424,0.175333428
7,SP7,Spain,Castilla-La Mancha,Grassland,La Higueruela 1,40.05545,-4.432289,,,,,,,1.89,1.28,3.17,69.59654528,12.52113379,17.09232092,10.89,,2.13,21300,0.07,700,117.69,10.66,6.25,0.79,0.46,0.4,205.106,24.765,8.58336304,2.126544483,0.342995833,4600,1.41657576,1.41657576,0.030723091
8,SP8,Spain,Castilla-La Mancha,High ,La Higueruela 1,40.05874,-4.416166,,,,,,,1.88,0.89,2.77,74.85334517,14.50397363,9.862681203,8.06,,3.33,33300,0.066,660,941.29,53.51,6.45,0.78,0.45,0.6,168.661,22.704,62.28632286,3.325355435,0.1915625,4500,1.616831982,1.592055331,0.071851988
9,SP9,Spain,Castilla-La Mancha,Low ,La Higueruela 1,40.05793,-4.416149,,,,,,,1.75,0.89,2.64,76.27622632,12.35399882,10.80977486,11.15,,3.02,30200,0.064,640,900.9,70.76,6.52,0.56,0.32,0.6,187.488,24.51,61.10968581,3.018146182,0.237475,3200,1.646390405,1.646390405,0.053503856
10,SP10,Spain,Castilla-La Mancha,Grassland,La Higueruela 2,40.07019,-4.423826,,,,,,,1.05,0.64,1.69,17.08112379,27.34563904,54.49323717,46.95,,7.2,72000,0.126,1260,341.66,1,8.11,1.08,0.63,9.4,446.724,33.105,0.916890931,7.198233111,0.7446875,6300,0.913615582,0.913615582,0.164892635
