#OTU ID,s1_F47-R32,s1_F47-R33,s1_F47-R34,s1_F47-R35,s1_F47-R36,s1_F47-R37,s1_F47-R38,s1_F47-R39,s1_F48-R32,s1_F48-R33,s1_F48-R34,s1_F48-R35,s1_F48-R36,s1_F48-R37,s1_F48-R38,s1_F48-R39,s1_F49-R32,s1_F49-R33,s1_F49-R34,s1_F49-R35,s1_F49-R36,s1_F49-R37,s1_F49-R38,s1_F49-R39,s1_F50-R32,s1_F50-R33,s1_F50-R34,s1_F50-R35,s1_F50-R36,s1_F50-R37,s1_F50-R38,s1_F50-R39,s1_F51-R32,s1_F51-R33,s1_F51-R34,s1_F51-R35,s1_F51-R36,s1_F51-R37,s1_F51-R38,s1_F51-R39,s1_F52-R32,s1_F52-R33,s1_F52-R34,s1_F52-R35,s1_F52-R36,s1_F52-R37,s1_F52-R38,s1_F52-R39,s1_F53-R32,s1_F53-R33,s1_F53-R34,s1_F53-R35,s1_F53-R36,s1_F53-R37,s1_F53-R38,s1_F53-R39,s1_F54-R32,s1_F54-R33,s1_F54-R34,s1_F54-R35,s1_F54-R36,s1_F54-R37,s1_F54-R38,s1_F54-R39,s1_F55-R32,s1_F55-R33,s1_F55-R34,s1_F55-R35,s1_F55-R36,s1_F55-R37,s1_F55-R38,s1_F55-R39,s1_F56-R32,s1_F56-R33,s1_F56-R34,s1_F56-R35,s1_F56-R36,s1_F56-R37,s1_F56-R38,s1_F56-R39,s1_F57-R32,s1_F57-R33,s1_F57-R34,s1_F57-R35,s1_F57-R36,s1_F57-R37,s1_F57-R38,s1_F57-R39,s1_F58-R32,s1_F58-R33,s1_F58-R34,s1_F58-R35,s1_F58-R37,s2_F47-R32,s2_F47-R33,s2_F47-R34,s2_F47-R35,s2_F47-R36,s2_F47-R37,s2_F47-R38,s2_F47-R39,s2_F48-R32,s2_F48-R33,s2_F48-R34,s2_F48-R35,s2_F48-R36,s2_F48-R37,s2_F48-R38,s2_F48-R39,s2_F49-R32,s2_F49-R33,s2_F49-R34,s2_F49-R35,s2_F49-R36,s2_F49-R37,s2_F49-R38,s2_F49-R39,s2_F50-R32,s2_F50-R33,s2_F50-R34,s2_F50-R35,s2_F50-R36,s2_F50-R37,s2_F50-R38,s2_F50-R39,s2_F51-R32,s2_F51-R33,s2_F51-R34,s2_F51-R35,s2_F51-R36,s2_F51-R37,s2_F51-R38,s2_F51-R39,s2_F52-R32,s2_F52-R33,s2_F52-R34,s2_F52-R35,s2_F52-R36,s2_F52-R37,s2_F52-R38,s2_F52-R39,s2_F53-R32,s2_F53-R33,s2_F53-R34,s2_F53-R35,s2_F53-R36,s2_F53-R37,s2_F53-R38,s2_F53-R39,s2_F54-R32,s2_F54-R33,s2_F54-R34,s2_F54-R35,s2_F54-R36,s2_F54-R37,s2_F54-R38,s2_F54-R39,s2_F55-R32,s2_F55-R33,s2_F55-R34,s2_F55-R35,s2_F55-R36,s2_F55-R37,s2_F55-R38,s2_F55-R39,s2_F56-R32,s2_F56-R33,s2_F56-R34,s2_F56-R35,s2_F56-R36,s2_F56-R37,s2_F56-R38,s2_F56-R39,s2_F57-R32,s2_F57-R33,s2_F57-R34,s2_F57-R35,s2_F57-R36,s2_F57-R37,s2_F57-R38,s2_F57-R39,s2_F58-R35,s2_F58-R39,s3_F47-R32,s3_F47-R33,s3_F47-R34,s3_F47-R35,s3_F47-R36,s3_F47-R37,s3_F47-R38,s3_F47-R39,s3_F48-R32,s3_F48-R33,s3_F48-R34,s3_F48-R35,s3_F48-R36,s3_F48-R37,s3_F48-R38,s3_F48-R39,s3_F49-R32,s3_F49-R33,s3_F49-R34,s3_F49-R35,s3_F49-R36,s3_F49-R37,s3_F49-R38,s3_F49-R39,s3_F50-R32,s3_F50-R33,s3_F50-R34,s3_F50-R35,s3_F50-R36,s3_F50-R37,s3_F50-R38,s3_F50-R39,s3_F51-R32,s3_F51-R33,s3_F51-R34,s3_F51-R35,s3_F51-R36,s3_F51-R37,s3_F51-R38,s3_F51-R39,s3_F52-R32,s3_F52-R33,s3_F52-R34,s3_F52-R35,s3_F52-R36,s3_F52-R37,s3_F52-R38,s3_F52-R39,s3_F53-R32,s3_F53-R33,s3_F53-R34,s3_F53-R35,s3_F53-R36,s3_F53-R37,s3_F53-R38,s3_F53-R39,s3_F54-R32,s3_F54-R33,s3_F54-R34,s3_F54-R35,s3_F54-R36,s3_F54-R37,s3_F54-R38,s3_F54-R39,s3_F55-R32,s3_F55-R33,s3_F55-R34,s3_F55-R35,s3_F55-R36,s3_F55-R37,s3_F55-R38,s3_F55-R39,s3_F56-R32,s3_F56-R33,s3_F56-R34,s3_F56-R35,s3_F56-R36,s3_F56-R37,s3_F56-R38,s3_F56-R39,s3_F57-R32,s3_F57-R33,s3_F57-R34,s3_F57-R35,s3_F57-R36,s3_F57-R37,s3_F57-R38,s3_F57-R39,s3_F58-R33,s3_F58-R36,s3_F58-R39
OTU34,77,0,10,15,0,0,0,33,8,56,0,0,16,3,0,23,3,19,0,18,8,0,0,0,2,0,0,115,387,5,21,0,14,0,0,0,5,3,0,8,18,1,104,133,83,0,0,0,0,0,0,4,0,27,6,47,0,0,1,0,8,5,0,0,35,0,3,2,135,7,3,0,10,0,0,0,1,0,0,8,49,5,52,1,1,183,0,3,1,0,0,0,0,1,0,6,0,1,58,19,3,8,19,3,232,5,0,33,121,0,1,8,0,1,0,96,21,1,3,6,15,1,28,25,9,0,1,8,0,1,32,10,191,8,0,0,19,17,13,87,3,5,0,3,104,7,42,12,5,0,6,0,0,4,0,1,0,15,15,62,148,45,140,122,4,1,1,2,0,0,0,1,0,1,2,0,3,0,11,10,35,0,0,9,14,0,5,424,2,0,0,7,92,50,5,1,7,0,8,0,14,60,4,0,12,61,0,42,68,18,2,0,22,2,5,1,63,3,68,328,51,111,187,3,2,0,2,114,6,99,9,47,7,2,236,37,0,0,64,4,1,1,0,16,20,6,0,4,4,11,0,14,36,0,4,78,0,0,0,0,0,54,49,8,0,124,9,7,1,2,22,0,0,0
OTU16,61,40,86,17,53,154,220,20,74,203,275,3,411,396,23,281,48,75,11,50,7,58,171,13,46,5,34,32,78,14,22,556,49,52,18,33,28,14,1,192,15,116,14,52,119,113,47,81,96,4,120,54,575,197,123,41,97,216,91,0,45,7,99,0,37,0,129,118,30,15,20,636,4,9,428,102,560,321,290,67,377,36,7,105,148,36,18,50,8,0,0,0,0,37,680,185,289,184,141,253,536,417,347,54,20,5,80,121,34,375,54,51,132,126,30,1,285,5,270,119,117,115,122,764,8,26,101,80,489,311,57,149,151,99,34,288,109,3,51,76,57,360,29,59,68,52,89,23,80,242,40,322,1,95,87,578,0,64,180,363,38,195,240,24,51,101,56,9,535,169,113,500,293,325,219,142,52,1,148,120,21,0,0,14,124,285,137,51,17,86,121,102,65,140,59,89,1794,7,208,622,438,456,232,190,446,106,462,40,4,114,1025,293,27,115,162,60,49,132,253,116,107,49,76,374,178,966,169,11,432,500,51,167,32,493,111,298,133,176,13,239,34,152,0,42,44,41,0,288,52,630,42,109,464,286,64,230,7,488,0,127,159,19,586,247,15,84,215,120,8,981,809,0,0,0
OTU291,3,1,1,0,5,0,0,0,1,0,0,107,1,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,1,9,0,0,0,3,10,0,2,7,0,0,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,1,0,10,0,1,0,2,7,0,4,0,0,13,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,2,0,2,0,0,0,5,0,0,0,0,2,0,0,3,0,5,30,1,0,0,0,0,0,0,11,0,0,0,0,9,0,2,0,0,0,0,0,3,0,0,0,8,18,1,4,1,0,5,0,0,0,0,0,1,3,0,0,18,0,4,5,0,0,0,2,7,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0,87,0,0,0,11,0,15,0,1,0,0,0,0,0,0,0,0,0,2,0,14,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,3,6,0,0,0,0
OTU2,443,579,69,114,978,249,73,113,9,84,76,0,272,0,80,12,56,469,3,56,216,3,536,356,14,3,81,173,18,8,137,4,292,0,30,2,165,915,1,130,263,30,756,315,243,550,427,41,57,376,235,66,64,149,633,88,34,10,18,1,229,113,132,1,167,6,459,270,79,183,798,19,13,484,209,309,19,109,148,58,7,4,219,342,459,7,1,1772,19,0,0,0,0,722,53,10,54,42,755,5,253,3,131,8,2,871,498,33,585,63,790,553,235,5,643,33,3,0,18,14,448,358,260,243,402,14,12,128,475,1029,40,81,172,304,94,11,109,225,1,285,140,22,11,39,502,1423,68,524,88,104,3,9,0,557,8,228,1,359,15,208,10,265,45,101,602,81,143,1,365,349,1,228,53,2,351,118,6,23,550,80,5,0,0,88,531,436,726,5,7,944,8,5,103,96,775,919,49,2,709,44,100,231,701,41,670,141,226,175,4,273,241,319,1297,52,8,575,88,642,64,9,319,509,343,52,59,27,321,899,517,122,6,103,106,531,684,142,691,509,395,0,4,285,0,7,770,1,0,15,197,1048,163,270,18,342,10,7,9,252,19,44,141,20,1,336,63,46,23,626,84,1048,80,0,0,0
OTU1,176,539,520,476,434,731,160,83,310,423,195,1,535,43,320,126,0,627,2,534,264,0,139,118,682,1,8,822,473,54,262,11,91,9,1,0,12,992,1,120,805,0,1530,653,1457,1036,190,3,417,529,0,331,70,361,284,4,44,234,405,3,1151,31,168,1,180,3,469,345,1329,585,1065,367,873,608,66,63,17,232,87,432,364,1,722,447,250,805,130,528,0,0,0,0,0,328,132,364,58,744,837,143,921,8,449,440,17,622,238,575,1681,313,1099,172,185,0,2,1001,206,0,28,195,948,348,86,287,524,9,633,1144,3,1476,438,180,884,144,331,0,235,499,411,339,114,316,2,0,612,1264,322,74,2087,105,870,25,1,503,16,78,0,255,119,85,1483,932,1200,512,1311,249,325,0,423,679,1,565,191,14,682,177,2,2,552,981,48,0,0,176,455,532,321,222,2,895,5,1085,993,1695,943,1346,157,2,838,237,135,884,842,125,584,901,322,1128,1391,65,5,485,852,253,977,1333,6,456,675,758,345,1064,1143,227,209,528,255,1541,332,1418,121,324,19,12,668,226,211,378,1039,61,0,811,1,331,329,140,1,328,759,535,177,2056,115,276,11,543,0,766,7,0,366,621,28,220,98,1677,1079,393,22,1293,963,0,0,1
OTU3128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,3,1,2,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
OTU71,5,0,6,24,0,5,0,2,23,0,0,0,5,9,0,8,0,3,0,7,4,0,0,0,1,0,0,2,20,0,0,0,0,3,0,0,7,0,0,6,3,0,0,5,14,0,0,0,0,1,0,3,1,28,11,4,0,0,5,0,1,0,7,0,2,0,3,24,16,3,11,0,35,0,0,10,2,0,4,0,1,0,3,10,0,36,0,2,0,0,0,0,0,3,5,12,0,24,107,15,0,5,34,5,6,0,0,15,27,0,1,4,0,0,1,30,42,0,5,1,21,0,14,0,6,0,11,11,0,0,35,0,22,1,0,0,2,2,46,6,4,8,0,0,24,41,12,2,7,3,9,0,0,8,1,0,0,48,21,0,14,33,44,40,1,19,0,0,9,3,0,0,17,5,0,2,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,13,5,5,2,5,19,0,52,0,0,14,2,0,4,3,0,36,57,43,0,0,0,1,23,0,0,1,0,64,33,9,11,0,15,15,57,22,19,33,0,8,7,0,4,2,27,2,29,19,0,1,0,12,11,14,0,0,2,0,4,5,20,0,0,8,0,4,0,0,0,62,11,0,1,24,21,0,0,0,2,0,0,0
OTU4,211,177,21,5,119,109,14,15,4,0,14,17,114,11,2,5,36,33,41,28,2,487,100,19,79,68,124,25,4,2,8,32,32,71,82,249,175,6,71,17,21,155,24,59,172,9,27,431,0,24,0,78,192,4,215,99,6,91,173,1,129,97,100,0,16,13,99,163,63,5,10,19,3,21,89,203,3,284,158,7,133,111,3,47,185,1,2,5,357,0,0,0,0,254,275,250,27,13,176,9,4,0,2,110,53,84,147,41,26,74,10,40,137,215,118,0,21,111,1,6,44,224,135,0,6,104,181,192,2,7,0,60,0,70,181,220,54,22,0,6,46,1,81,115,19,30,22,154,81,193,7,15,1,422,157,140,0,188,343,115,1,398,18,7,12,172,19,32,289,122,509,29,28,3,293,382,108,16,15,69,347,0,0,5,46,48,207,514,500,288,372,217,4,0,10,232,2,12,234,211,21,256,72,182,38,5,37,4,2,267,10,172,80,116,331,189,40,222,28,70,46,20,253,23,1,77,273,3,411,116,341,4,171,7,4,184,35,183,0,48,91,20,0,14,44,0,1,39,0,3,80,2,7,150,687,263,52,212,159,505,250,7,2,64,154,46,284,112,405,10,7,1,0,0
OTU246,1,0,0,0,0,0,22,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,6,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU33,118,0,53,43,0,2,0,1,3,0,0,1,13,0,1,0,1,86,13,9,1,26,0,0,2,10,0,7,0,0,3,0,0,1,0,0,0,3,2,0,5,0,26,8,36,0,0,0,1,0,0,4,0,56,14,1,0,0,2,0,24,0,0,0,0,0,12,8,171,1,0,0,0,0,1,0,2,0,0,13,8,0,7,0,0,107,3,2,67,0,0,0,0,17,1,5,0,0,71,9,1,1,1,1,0,10,1,93,186,0,0,7,0,0,0,14,0,2,0,0,104,1,0,8,24,0,4,0,0,0,143,19,10,12,0,13,0,4,0,155,9,1,8,116,15,4,0,10,0,0,13,0,0,92,0,0,0,18,13,0,84,193,12,0,0,0,2,0,13,7,0,0,34,0,0,0,12,2,1,1,85,0,0,32,105,0,0,39,1,0,1,4,0,12,4,7,0,3,5,0,2,33,8,0,0,11,0,12,0,0,0,0,0,39,13,0,14,45,5,2,33,19,34,0,4,0,4,351,1,19,105,1,26,0,5,2,0,0,15,4,1,0,0,0,7,0,0,0,2,0,25,8,0,0,1,7,0,9,51,0,0,413,9,5,0,10,10,2,172,0,0,0,0,0
