#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__,s__
OTU10,k__Fungi,p__,c__,o__,f__,g__,s__
OTU100,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Apodus,s__Apodus_deciduus_SH193385.07FU
OTU1000,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU1001,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1002,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU1003,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__
OTU1004,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,s__
OTU1005,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__,f__,g__,s__
OTU1006,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__,f__,g__,s__
OTU1007,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1008,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1009,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__,f__,g__,s__
OTU101,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__,f__,g__,s__
OTU1010,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1011,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__Metarhizium_marquandii_SH217935.07FU
OTU1012,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__Operculomyces_laminatus_SH210135.07FU
OTU1013,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__,f__,g__,s__
OTU1014,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__,g__,s__
OTU1015,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__
OTU1016,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza,s__
OTU1017,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Dactylaria,s__Dactylaria_dimorphospora_SH025283.07FU
OTU1018,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1019,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU102,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__,f__,g__,s__
OTU1020,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Torulaceae,g__Torula,s__Torula_herbarum_SH212866.07FU
OTU1021,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1022,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__
OTU1023,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
OTU1024,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__,s__
OTU1025,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1026,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1027,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1028,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,s__
OTU1029,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Geopora,s__
OTU103,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_tellustris_SH216786.07FU
OTU1030,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__,f__,g__,s__
OTU1031,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1032,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
OTU1033,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_angusta_SH189943.07FU
OTU1034,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1035,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Leucosporidiales,f__,g__,s__
OTU1036,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1037,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__,g__,s__
OTU1038,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__,s__
OTU1039,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__,g__,s__
OTU104,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__,g__,s__
OTU1040,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Beauveria,s__Beauveria_amorpha_SH212432.07FU
OTU1041,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__,g__,s__
OTU1042,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_phaeocyathus_SH221922.07FU
OTU1043,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__Conocybe_lenticulospora_SH220671.07FU
OTU1044,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Powellomyces,s__
OTU1045,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__
OTU1046,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__Piptocephalidaceae,g__Syncephalis,s__
OTU1047,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU1048,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__Podospora_communis_SH202181.07FU
OTU1049,k__Fungi,p__,c__,o__,f__,g__,s__
OTU105,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__
OTU1050,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__,s__
OTU1051,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__,g__,s__
OTU1052,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__,s__
OTU1053,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1054,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__,f__,g__,s__
OTU1055,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__
OTU1056,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Spegazzinia,s__
OTU1057,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1058,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__
OTU1059,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Podospora,s__
OTU106,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Lectera,s__
OTU1060,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Tetracladium,s__
OTU1061,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1062,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Powellomyces,s__
OTU1063,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__,s__
OTU1064,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1065,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__,f__,g__,s__
OTU1066,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__,g__,s__
OTU1067,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__
OTU1068,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU1069,k__Fungi,p__,c__,o__,f__,g__,s__
OTU107,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__,g__,s__
OTU1070,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1071,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1072,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__,s__
OTU1073,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica_SH199073.07FU
OTU1074,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
OTU1075,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1076,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__,s__
OTU1077,k__Fungi,p__,c__,o__,f__,g__,s__
OTU1078,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Sistotrema,s__
OTU1079,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__,f__,g__,s__
OTU108,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_alpina_SH183636.07FU
OTU1080,k__Fungi,p__,c__,o__,f__,g__,s__
